| No. | Question                                                                                             | Response Options                                                                                           | Scoring |
| --- | ---------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------- | ------- |
| 1   | In the past two weeks, how often have you felt generally happy or content?                           | (a) Most days (0)  (b) Sometimes (1)  (c) Rarely (2)                                                       | 0–2     |
| 2   | Do you often feel tired or low on energy, even after resting?                                        | (a) Rarely (0)  (b) Sometimes (1)  (c) Often (2)                                                           | 0–2     |
| 3   | How well have you been sleeping lately?                                                              | (a) Sleeping well most nights (0)  (b) Some trouble falling asleep (1)  (c) Poor sleep or waking often (2) | 0–2     |
| 4   | Have you lost interest or pleasure in your usual activities or work?                                 | (a) No (0)  (b) A little (1)  (c) A lot (2)                                                                | 0–2     |
| 5   | Over the past two weeks, do you feel worried or tense?                                               | (a) Rarely (0)  (b) Sometimes (1)  (c) Often (2)                                                           | 0–2     |
| 6   | How easy is it for you to concentrate on daily tasks, like cooking, farming, or talking with others? | (a) Easy (0)  (b) Sometimes hard (1)  (c) Very hard (2)                                                    | 0–2     |
| 7   | Have you been feeling hopeful about the future?                                                      | (a) Mostly yes (0)  (b) Sometimes (1)  (c) Not much (2)                                                    | 0–2     |
| 8   | Do you often feel lonely or left out, even when with others?                                         | (a) Rarely (0)  (b) Sometimes (1)  (c) Often (2)                                                           | 0–2     |
| 9   | Have you been easily irritated or angry lately?                                                      | (a) Rarely (0)  (b) Sometimes (1)  (c) Often (2)                                                           | 0–2     |
| 10  | How often do you feel that your family or community supports you?                                    | (a) Often (0)  (b) Sometimes (1)  (c) Rarely (2)                                                           | 0–2     |
| 11  | Have you noticed changes in your appetite (eating more or less than usual)?                          | (a) No change (0)  (b) Some change (1)  (c) Big change (2)                                                 | 0–2     |
| 12  | Do you find it difficult to manage your daily work or household tasks?                               | (a) No (0)  (b) Sometimes (1)  (c) Often (2)                                                               | 0–2     |
| 13  | Have you been feeling uneasy or restless, like you can’t relax?                                      | (a) Rarely (0)  (b) Sometimes (1)  (c) Often (2)                                                           | 0–2     |
| 14  | How often have you felt good about yourself or your life recently?                                   | (a) Most days (0)  (b) Sometimes (1)  (c) Rarely (2)                                                       | 0–2     |
| 15  | If something troubles you, how easy is it for you to talk to someone about it?                       | (a) Easy (0)  (b) Sometimes hard (1)  (c) Very hard (2)                                                    | 0–2     |
